file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
bear-09f5edeb,0.0,0.624,corpus,-46.19249700730847,-43.64813741048177,1.8755272980518451,21.22166563880735
executive-9ca805b9,0.0,0.864,corpus,-52.20525981104651,-52.05420913696289,1.8710867045386785,20.01748499231317
exit-de3ac217,0.0,0.6,corpus,-53.44618326822917,-53.431748962402345,1.843277690778613,22.585201398902612
chair-851e13a6,0.0,0.648,corpus,-47.01223707932692,-46.3944091796875,1.84244554558816,22.04442508918137
red-78988010,0.0,0.6,corpus,-48.700382486979166,-49.089132944742836,1.84244554558816,21.48633739472194
bring-7942c724,0.0,0.624,corpus,-47.401186050907256,-47.022013664245605,1.821521070155443,21.49808490114919
near-d8c46683,0.0,0.6,corpus,-49.26075439453125,-48.68408711751302,1.821521070155443,22.314255239733143
boy-ceac9b04,0.0,0.624,corpus,-53.57930238785282,-51.29882621765137,1.818577702097589,23.57098103817993
how-0b064373,0.0,0.6,corpus,-50.86527913411458,-51.91394805908203,1.8172932918642521,19.40430946879327
we-have-fun-under-the-sun-e8f1dcd3,0.0,1.584,corpus,-51.01914495154272,-50.72962974099552,1.7939672810435727,21.428979373812513
again-aaa4d5f8,0.0,0.696,corpus,-47.89813406808036,-48.29881477355957,1.7939660320188806,21.4127190840242
fun-c84c50d5,0.0,0.624,corpus,-49.28800718245968,-48.73365275065104,1.7939654075065345,18.976288342409145
my-family-and-friends-have-fun-ba688563,0.0,1.992,corpus,-48.24810576319096,-49.1956908816383,1.7939647829941885,20.88073143242349
today-is-different-from-yesterday-c54fe663,0.0,1.896,corpus,-51.16667865953947,-52.417722619098164,1.7803961144464548,20.429142759462962
there-is-snow-near-our-home-e9f0a074,0.0,1.608,corpus,-45.60061929833075,-46.382603764534,1.7688975281244212,19.075077341897224
he-is-happy-in-his-home-19f9c92e,0.0,1.608,corpus,-47.71989943225932,-49.936307430267334,1.7688975281244212,21.02313978173514
blue-4c9a82ce,0.0,0.6,corpus,-49.99808349609375,-49.58283615112305,1.7636442173870592,20.166374875447257
two-ad782ecd,0.0,0.6,corpus,-49.06195882161458,-48.75107002258301,1.7490526000511226,20.393938972011377
the-boy-has-a-toy-and-a-coin-9975a25b,0.0,1.992,corpus,-50.79956422738694,-51.02681148753447,1.7490522590300979,19.958492572788145
the-little-sister-opens-the-window-before-dinner-ea32244a,0.0,2.544,corpus,-52.471264456200785,-52.698046481970586,1.7467180364953587,22.76542048025704
different-517d5a72,0.0,0.6,corpus,-51.62655029296875,-52.50755637032645,1.7420186853675355,20.821300061990186
vision-625f139d,0.0,0.696,corpus,-50.5595703125,-49.95388259887695,1.7420186853675355,19.42446139507352
